Aug 04 2022 18:19:11.051 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.051 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.051 [DEBUG] timeliner.TimelineSlider       value = 82414
Aug 04 2022 18:19:11.065 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.065 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.065 [DEBUG] timeliner.TimelineSlider       value = 82544
Aug 04 2022 18:19:11.073 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.073 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.073 [DEBUG] timeliner.TimelineSlider       value = 82675
Aug 04 2022 18:19:11.084 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.084 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.084 [DEBUG] timeliner.TimelineSlider       value = 82935
Aug 04 2022 18:19:11.085 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.085 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.085 [DEBUG] timeliner.TimelineSlider       value = 83066
Aug 04 2022 18:19:11.094 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.094 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.094 [DEBUG] timeliner.TimelineSlider       value = 83327
Aug 04 2022 18:19:11.106 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.106 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.106 [DEBUG] timeliner.TimelineSlider       value = 83457
Aug 04 2022 18:19:11.115 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.115 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.115 [DEBUG] timeliner.TimelineSlider       value = 83718
Aug 04 2022 18:19:11.123 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.123 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.123 [DEBUG] timeliner.TimelineSlider       value = 83848
Aug 04 2022 18:19:11.133 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.133 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.133 [DEBUG] timeliner.TimelineSlider       value = 83979
Aug 04 2022 18:19:11.135 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.135 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.135 [DEBUG] timeliner.TimelineSlider       value = 84239
Aug 04 2022 18:19:11.148 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.148 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.149 [DEBUG] timeliner.TimelineSlider       value = 84370
Aug 04 2022 18:19:11.157 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.157 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.157 [DEBUG] timeliner.TimelineSlider       value = 84500
Aug 04 2022 18:19:11.166 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.166 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.166 [DEBUG] timeliner.TimelineSlider       value = 84761
Aug 04 2022 18:19:11.175 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.175 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.175 [DEBUG] timeliner.TimelineSlider       value = 84891
Aug 04 2022 18:19:11.178 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.178 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.178 [DEBUG] timeliner.TimelineSlider       value = 85022
Aug 04 2022 18:19:11.187 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.187 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.187 [DEBUG] timeliner.TimelineSlider       value = 85152
Aug 04 2022 18:19:11.197 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.197 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.197 [DEBUG] timeliner.TimelineSlider       value = 85413
Aug 04 2022 18:19:11.205 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.206 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.206 [DEBUG] timeliner.TimelineSlider       value = 85543
Aug 04 2022 18:19:11.215 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.215 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
Aug 04 2022 18:19:11.215 [DEBUG] timeliner.TimelineSlider       value = 85674
Aug 04 2022 18:19:11.224 [DEBUG] timeliner.TimelineSlider       range = 226377
Aug 04 2022 18:19:11.224 [DEBUG] timeliner.TimelineSlider       value per pixel = 130.40149769585253
